PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=244 ttl=64 time=969 ms
64 bytes from 10.0.0.2: icmp_seq=245 ttl=64 time=988 ms
64 bytes from 10.0.0.2: icmp_seq=246 ttl=64 time=992 ms
64 bytes from 10.0.0.2: icmp_seq=247 ttl=64 time=991 ms
64 bytes from 10.0.0.2: icmp_seq=248 ttl=64 time=1020 ms
64 bytes from 10.0.0.2: icmp_seq=249 ttl=64 time=1031 ms
64 bytes from 10.0.0.2: icmp_seq=250 ttl=64 time=1050 ms
64 bytes from 10.0.0.2: icmp_seq=251 ttl=64 time=1058 ms
64 bytes from 10.0.0.2: icmp_seq=253 ttl=64 time=1070 ms
64 bytes from 10.0.0.2: icmp_seq=254 ttl=64 time=1085 ms
64 bytes from 10.0.0.2: icmp_seq=256 ttl=64 time=1089 ms
64 bytes from 10.0.0.2: icmp_seq=257 ttl=64 time=1098 ms
64 bytes from 10.0.0.2: icmp_seq=259 ttl=64 time=1106 ms
64 bytes from 10.0.0.2: icmp_seq=264 ttl=64 time=1077 ms
64 bytes from 10.0.0.2: icmp_seq=265 ttl=64 time=1050 ms
64 bytes from 10.0.0.2: icmp_seq=267 ttl=64 time=1008 ms
64 bytes from 10.0.0.2: icmp_seq=268 ttl=64 time=932 ms
64 bytes from 10.0.0.2: icmp_seq=269 ttl=64 time=903 ms
64 bytes from 10.0.0.2: icmp_seq=270 ttl=64 time=869 ms
64 bytes from 10.0.0.2: icmp_seq=271 ttl=64 time=845 ms
64 bytes from 10.0.0.2: icmp_seq=272 ttl=64 time=827 ms
64 bytes from 10.0.0.2: icmp_seq=273 ttl=64 time=819 ms
64 bytes from 10.0.0.2: icmp_seq=275 ttl=64 time=822 ms
64 bytes from 10.0.0.2: icmp_seq=276 ttl=64 time=830 ms
64 bytes from 10.0.0.2: icmp_seq=277 ttl=64 time=762 ms
64 bytes from 10.0.0.2: icmp_seq=278 ttl=64 time=764 ms
64 bytes from 10.0.0.2: icmp_seq=279 ttl=64 time=768 ms
64 bytes from 10.0.0.2: icmp_seq=280 ttl=64 time=762 ms
64 bytes from 10.0.0.2: icmp_seq=281 ttl=64 time=765 ms
64 bytes from 10.0.0.2: icmp_seq=282 ttl=64 time=755 ms
64 bytes from 10.0.0.2: icmp_seq=283 ttl=64 time=726 ms
64 bytes from 10.0.0.2: icmp_seq=284 ttl=64 time=698 ms
64 bytes from 10.0.0.2: icmp_seq=285 ttl=64 time=640 ms
64 bytes from 10.0.0.2: icmp_seq=286 ttl=64 time=611 ms
64 bytes from 10.0.0.2: icmp_seq=287 ttl=64 time=584 ms
64 bytes from 10.0.0.2: icmp_seq=288 ttl=64 time=551 ms
64 bytes from 10.0.0.2: icmp_seq=289 ttl=64 time=549 ms
64 bytes from 10.0.0.2: icmp_seq=290 ttl=64 time=538 ms
64 bytes from 10.0.0.2: icmp_seq=291 ttl=64 time=537 ms
64 bytes from 10.0.0.2: icmp_seq=292 ttl=64 time=601 ms
64 bytes from 10.0.0.2: icmp_seq=293 ttl=64 time=603 ms
64 bytes from 10.0.0.2: icmp_seq=294 ttl=64 time=606 ms
64 bytes from 10.0.0.2: icmp_seq=295 ttl=64 time=608 ms
64 bytes from 10.0.0.2: icmp_seq=296 ttl=64 time=617 ms
64 bytes from 10.0.0.2: icmp_seq=297 ttl=64 time=686 ms
64 bytes from 10.0.0.2: icmp_seq=298 ttl=64 time=694 ms
64 bytes from 10.0.0.2: icmp_seq=299 ttl=64 time=700 ms
64 bytes from 10.0.0.2: icmp_seq=300 ttl=64 time=699 ms

--- 10.0.0.2 ping statistics ---
300 packets transmitted, 276 received, 8% packet loss, time 30458ms
rtt min/avg/max/mdev = 3.456/745.992/1163.749/169.737 ms, pipe 12
